descricao;endereco;area;quartos;wc;vagas;valor;condominio;link
Apartamento com 2 Quartos à Venda, 244m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;244;2;3;2;R$ 1.400.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-mossungue-bairros-curitiba-com-garagem-244m2-venda-RS1400000-id-2553093102/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de   R$ 161.000;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 2 Quartos à Venda, 85m²;Rua José de Alencar, 442 - Alto da Rua XV, Curitiba - PR;85;2;2;1;R$ 690.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-85m2-venda-RS690000-id-2531888538/
Apartamento com  Quarto à Venda, 29m²;Rua Ubaldino do Amaral, 1028 - Centro, Curitiba - PR;29;1;1;--;R$ 270.000;R$ 240;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-29m2-venda-RS270000-id-2548100966/
Apartamento com 3 Quartos à Venda, 58m²;Rua Oliveira Viana, 1100 - Hauer, Curitiba - PR;58;3;1;1;R$ 259.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-58m2-venda-RS259000-id-2548766956/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 4 Quartos à Venda, 95m²;Alameda Presidente Taunay, 2051 - Mercês, Curitiba - PR;95;4;3;1;R$ 419.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-4-quartos-merces-bairros-curitiba-com-garagem-95m2-venda-RS419000-id-2549215831/
Apartamento com 2 Quartos à Venda, 99m²;Rua do Herval, 611 - Cristo Rei, Curitiba - PR;99;2;3;2;R$ 800.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-99m2-venda-RS800000-id-2554664925/
Mont Tannat;Avenida Visconde de Guarapuava, 3116 - Centro, Curitiba - PR;32-72;1-2;1-2;1-3;R$ 239.200;;https://www.vivareal.com.br/imoveis-lancamento/mont-tannat-2535840602/
Apartamento com 2 Quartos à Venda, 131m²;Rua Comendador Araújo, 279 - Centro, Curitiba - PR;131;2;2;1;R$ 660.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-131m2-venda-RS660000-id-2549089278/
